;correct_spelling;misspellings
947;heller ikke;['eller ikke'    , 'hller ikke'  , 'heler ikke'  , 'heler ikke'  , 'hellr ikke'  , 'helle ikke'  , 'hellerikke'  , 'heller kke'  , 'heller ike'  , 'heller ike'  , 'heller ikk'] ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
948;dobbelt;['obbelt'            , 'dbbelt'      , 'dobelt'      , 'dobelt'      , 'dobblt'      , 'dobbet'      , 'dobbel']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
949;sæde;['sæed'                 , 'sdæe'        , 'sdeæ'        , 'seæd'        , 'sedæ'        , 'æsde'        , 'æsed'        , 'ædse'        , 'ædes'        , 'æesd'        , 'æeds'        , 'dsæe'        , 'dseæ'         , 'dæse'   , 'dæes' , 'desæ', 'deæs', 'esæd', 'esdæ', 'eæsd' , 'eæds', 'edsæ' , 'edæs']
950;fortsætte;['ortsætte'        , 'frtsætte'    , 'fotsætte'    , 'forsætte'    , 'fortætte'    , 'fortstte'    , 'fortsæte'    , 'fortsæte'    , 'fortsætt']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
951;blok;['blko'                 , 'bolk'        , 'bokl'        , 'bklo'        , 'bkol'        , 'lbok'        , 'lbko'        , 'lobk'        , 'lokb'        , 'lkbo'        , 'lkob'        , 'oblk'        , 'obkl'         , 'olbk'   , 'olkb' , 'okbl', 'oklb', 'kblo', 'kbol', 'klbo' , 'klob', 'kobl' , 'kolb']
952;diagram;['iagram'            , 'dagram'      , 'digram'      , 'diaram'      , 'diagam'      , 'diagrm'      , 'diagra']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
953;hat;['hta'                   , 'aht'         , 'ath'         , 'tha'         , 'tah']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
954;sælge;['ælge'                , 'slge'        , 'sæge'        , 'sæle'        , 'sælg']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
955;succes;['ucces'              , 'scces'       , 'suces'       , 'suces'       , 'succs'       , 'succe']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
956;selskab;['elskab'            , 'slskab'      , 'seskab'      , 'selkab'      , 'selsab'      , 'selskb'      , 'selska']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
957;fratrække;['ratrække'        , 'fatrække'    , 'frtrække'    , 'frarække'    , 'fratække'    , 'fratrkke'    , 'fratræke'    , 'fratræke'    , 'fratrækk']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
958;begivenhed;['egivenhed'      , 'bgivenhed'   , 'beivenhed'   , 'begvenhed'   , 'begienhed'   , 'begivnhed'   , 'begivehed'   , 'begivened'   , 'begivenhd'   , 'begivenhe']  ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
959;særlig;['ærlig'              , 'srlig'       , 'sælig'       , 'særig'       , 'særlg'       , 'særli']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
960;aftale;['ftale'              , 'atale'       , 'afale'       , 'aftle'       , 'aftae'       , 'aftal']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
961;svømme;['vømme'              , 'sømme'       , 'svmme'       , 'svøme'       , 'svøme'       , 'svømm']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
962;sigt;['sitg'                 , 'sgit'        , 'sgti'        , 'stig'        , 'stgi'        , 'isgt'        , 'istg'        , 'igst'        , 'igts'        , 'itsg'        , 'itgs'        , 'gsit'        , 'gsti'         , 'gist'   , 'gits' , 'gtsi', 'gtis', 'tsig', 'tsgi', 'tisg' , 'tigs', 'tgsi' , 'tgis']
963;modsat;['odsat'              , 'mdsat'       , 'mosat'       , 'modat'       , 'modst'       , 'modsa']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
964;kone;['koen'                 , 'knoe'        , 'kneo'        , 'keon'        , 'keno'        , 'okne'        , 'oken'        , 'onke'        , 'onek'        , 'oekn'        , 'oenk'        , 'nkoe'        , 'nkeo'         , 'noke'   , 'noek' , 'neko', 'neok', 'ekon', 'ekno', 'eokn' , 'eonk', 'enko' , 'enok']
965;sko;['sok'                   , 'kso'         , 'kos'         , 'osk'         , 'oks']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
966;skulder;['kulder'            , 'sulder'      , 'sklder'      , 'skuder'      , 'skuler'      , 'skuldr'      , 'skulde']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
967;spredning;['predning'        , 'sredning'    , 'spedning'    , 'sprdning'    , 'sprening'    , 'spreding'    , 'sprednng'    , 'sprednig'    , 'sprednin']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
968;arrangere;['rrangere'        , 'arangere'    , 'arangere'    , 'arrngere'    , 'arragere'    , 'arranere'    , 'arrangre'    , 'arrangee'    , 'arranger']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
969;lejr;['lerj'                 , 'ljer'        , 'ljre'        , 'lrej'        , 'lrje'        , 'eljr'        , 'elrj'        , 'ejlr'        , 'ejrl'        , 'erlj'        , 'erjl'        , 'jler'        , 'jlre'         , 'jelr'   , 'jerl' , 'jrle', 'jrel', 'rlej', 'rlje', 'relj' , 'rejl', 'rjle' , 'rjel']
970;opfinde;['pfinde'            , 'ofinde'      , 'opinde'      , 'opfnde'      , 'opfide'      , 'opfine'      , 'opfind']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
971;bomuld;['omuld'              , 'bmuld'       , 'bould'       , 'bomld'       , 'bomud'       , 'bomul']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
972;Født;['Føtd'                 , 'Fdøt'        , 'Fdtø'        , 'Ftød'        , 'Ftdø'        , 'øFdt'        , 'øFtd'        , 'ødFt'        , 'ødtF'        , 'øtFd'        , 'øtdF'        , 'dFøt'        , 'dFtø'         , 'døFt'   , 'døtF' , 'dtFø', 'dtøF', 'tFød', 'tFdø', 'tøFd' , 'tødF', 'tdFø' , 'tdøF']
973;bestemme;['estemme'          , 'bstemme'     , 'betemme'     , 'besemme'     , 'bestmme'     , 'besteme'     , 'besteme'     , 'bestemm']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
974;kvart;['vart'                , 'kart'        , 'kvrt'        , 'kvat'        , 'kvar']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
